,アイテム,識別子,ラベル,地域,緯度,経度
560,https://mediaarts-db.bunka.go.jp/id/C45356,C45356,Rising Star Games,イギリス、ハートフォードシャー州ヒッチン　　アメリカ合衆国カリフォルニア州,51.94921,-0.283414
561,https://mediaarts-db.bunka.go.jp/id/C45358,C45358,テヨン,"Poland, małopolskie, Kraków",50.0646501,19.9449799
562,https://mediaarts-db.bunka.go.jp/id/C45360,C45360,デジタル・メディア・ラボ,東京都中央区八丁堀3-27-10,35.6747778,139.7793861
563,https://mediaarts-db.bunka.go.jp/id/C45367,C45367,LUMENOX EHF,ice,,
564,https://mediaarts-db.bunka.go.jp/id/C45365,C45365,ソニー・インタラクティブエンタテインメント,108－0075東京都港区港南1丁目7番1号 ソニーシティ[1],35.6311111,139.7438574
565,https://mediaarts-db.bunka.go.jp/id/C45368,C45368,Curve Digital ENTERTAINMENT LIMITED,"London, England",51.5072178,-0.1275862
566,https://mediaarts-db.bunka.go.jp/id/C45366,C45366,データウエスト株式会社,大阪市中央区城見1丁目3番7号 IMPビル 19F,34.6918501,135.5296916
567,https://mediaarts-db.bunka.go.jp/id/C45363,C45363,ソフトバンク株式会社,東京都港区東新橋一丁目9番1号,35.6629395,139.7612147
568,https://mediaarts-db.bunka.go.jp/id/C45333,C45333,EA Bright Light,"Guildford, UK",51.23622,-0.570409
569,https://mediaarts-db.bunka.go.jp/id/C45340,C45340,Pikii合同会社,新潟県新潟市中央区西馬越3-12,37.9139999,139.0725854
570,https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,London,51.5072178,-0.1275862
571,https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,Melbourne,-37.8136276,144.9630576
572,https://mediaarts-db.bunka.go.jp/id/C45330,C45330,Tomato,Tokyo,35.6761919,139.6503106
573,https://mediaarts-db.bunka.go.jp/id/C45331,C45331,ダイヤモンドヘッド,大阪府大阪市北区梅田2丁目5番25号,34.6979597,135.4919213
574,https://mediaarts-db.bunka.go.jp/id/C45328,C45328,The 3DO Company,"Redwood City, California, U.S.",37.4847955,-122.228141
575,https://mediaarts-db.bunka.go.jp/id/C45329,C45329,id Software,"1500 N Greenville Ave #700 Richardson, Tx 75081, U.S.",,
576,https://mediaarts-db.bunka.go.jp/id/C45326,C45326,セレン有限会社,埼玉県所沢市小手指町1-26-12井花屋ビル,35.8037611,139.4389255
577,https://mediaarts-db.bunka.go.jp/id/C45325,C45325,テクノソフト,長崎県佐世保市勝海町165-1,33.1409706,129.7883117
578,https://mediaarts-db.bunka.go.jp/id/C45327,C45327,東北新社,東京都港区赤坂4丁目8番10号,35.6755558,139.7333847
