アイテム,識別子,ラベル,地域,緯度,経度
https://mediaarts-db.bunka.go.jp/id/C46690,C46690,Game Designers' Workshop,"Normal, Illinois USA",,
https://mediaarts-db.bunka.go.jp/id/C46687,C46687,アミューズメント・ジャーナル,東京都豊島区南大塚2-40-9澤田ビル5F,,
https://mediaarts-db.bunka.go.jp/id/C46686,C46686,アイデス,東京都新宿区高田馬場3-3-3NIAビル4F,,
https://mediaarts-db.bunka.go.jp/id/C46679,C46679,ソース,東京都中央区新川1-3-3第17荒井ビル8階,,
https://mediaarts-db.bunka.go.jp/id/C46680,C46680,ソフニル,東京都港区港南二丁目12番23号明産高浜ビル2階,,
https://mediaarts-db.bunka.go.jp/id/C46805,C46805,太田出版,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C46853,C46853,ジャストシステム,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C44923,C44923,バリエ,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C46348,C46348,"Lobotomy Software, Inc.","Redmond, WA",,
https://mediaarts-db.bunka.go.jp/id/C44969,C44969,リイカ,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C46416,C46416,ブルフロッグ,"Guildford, UK",,
https://mediaarts-db.bunka.go.jp/id/C45010,C45010,東映動画株式会社,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C46457,C46457,FireFly Studios Ltd.,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C46446,C46446,Sports Interactive Limited,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45158,C45158,Team NINJA,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C46587,C46587,Magnetic Scrolls,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C46670,C46670,ZeniMax Europe Ltd.,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C46630,C46630,Telecomsoft,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45645,C45645,Curve Digital,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45676,C45676,ホット・ビィ,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C45637,C45637,Versus Evil LLC,"Austin, Texas, United States",,
https://mediaarts-db.bunka.go.jp/id/C45697,C45697,ナツメ株式会社,東京都新宿区,,
https://mediaarts-db.bunka.go.jp/id/C44735,C44735,GHI Media LLC,"Austin, Texas, United States",,
https://mediaarts-db.bunka.go.jp/id/C44717,C44717,Crystal Dynamics,"Redwood City, California, United States",,
https://mediaarts-db.bunka.go.jp/id/C44770,C44770,Roll7,"London, England",,
https://mediaarts-db.bunka.go.jp/id/C45302,C45302,Stormfront Studios,"San Rafael, California",,
https://mediaarts-db.bunka.go.jp/id/C45303,C45303,インターナショナルカードシステム株式会社,東京都渋谷区渋谷3-29-10 SANKYO第2ビル,,
https://mediaarts-db.bunka.go.jp/id/C45305,C45305,マスターピース,"東京都新宿区百人町2丁目27番7号
ハンドレッドサーカスイーストタワー5F",,
https://mediaarts-db.bunka.go.jp/id/C45299,C45299,ガンバリオン,"福岡県福岡市中央区渡辺通2丁目4番8号
福岡小学館ビル4階",,
https://mediaarts-db.bunka.go.jp/id/C45300,C45300,ウエップシステム,東京都新宿区西新宿3丁目8番5号,,
https://mediaarts-db.bunka.go.jp/id/C45301,C45301,フライト・プラン,岐阜県岐阜市,,
